Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 2/10/2021 6:30:04 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
108879,AFRAMER 119X,"Chocolate, Culture, and Politi",LEC,African & African Amer Studies,"Martin,Carla Denny",89,0,0,1,0,0,0,90
111438,AFRAMER 123Z,American Democracy,LEC,African & African Amer Studies,"West,Cornel",29,8,2,4,0,0,0,43
216052,AFRAMER 129XB,"Philosophy, Social Thought, an",LEC,African & African Amer Studies,"Terry,Brandon Michael",1,4,0,0,0,0,0,5
214576,AFRAMER 130Y,"Mobility, Power and Politics",1,African & African Amer Studies,"Agbiboa,Daniel",4,0,1,1,0,0,0,6
207805,AFRAMER 131Y,Black Womens Voices in the #Me,LEC,African & African Amer Studies,"Chavers,Linda",16,0,0,0,0,0,0,16
126710,AFRAMER 142,I Am Hiphop,LEC,African & African Amer Studies,"Morgan,Marcyliena",7,0,0,2,0,0,0,9
216643,AFRAMER 152Y,20th Century African American,LEC,African & African Amer Studies,"Carpio,Glenda",5,0,0,0,0,0,0,5
125927,AFRAMER 160,"Christianity, Identity, and",LEC,African & African Amer Studies,"Olupona,Jacob",0,2,0,0,0,0,0,2
118130,AFRAMER 174,The African City,LEC,African & African Amer Studies,"Blier,Suzanne",5,2,0,2,0,0,0,9
108168,AFRAMER 186X,Childhood in African America,LEC,African & African Amer Studies,"Bernstein,Robin",34,4,0,0,0,0,0,38
127960,AFRAMER 191X,African Am Lives in the Law,LEC,African & African Amer Studies,"Higginbotham,Evelyn Brooks",8,4,0,0,0,0,0,12
122498,AFRAMER 192X,Religion and Society in Nigeri,LEC,African & African Amer Studies,"Olupona,Jacob",5,1,0,1,0,0,0,7
205834,AFRAMER 192Y,The Garden,LEC,African & African Amer Studies,"Kincaid,Jamaica",5,1,0,1,0,0,0,7
196,AFRAMER 196Y,African Literature and the Poe,1,African & African Amer Studies,"Coulibaly,Bojana",3,1,0,2,0,0,0,6
110501,AFRAMER 199X,Social Revolutions in Latin,LEC,African & African Amer Studies,"de la Fuente,Alejandro",3,1,0,0,0,0,0,4
216012,AFRAMER 201,"Social Theory, In and Out of A",LEC,African & African Amer Studies,"Comaroff,Jean",0,17,0,0,0,0,0,17
108694,AFRAMER 209B,Africa Rising? New African Eco,1,African & African Amer Studies,"Comaroff,Jean",7,1,0,1,0,0,0,9
217615,AFRAMER 215,Queer/ing Ethnography: A Pract,LEC,African & African Amer Studies,"Meiu,George Paul",0,9,0,0,0,0,0,9
216013,AFRAMER 217X,Themes in the History of Afric,LEC,African & African Amer Studies,"Terry,Brandon Michael",13,4,0,2,0,0,0,19
115731,AFRAMER 310,Individual Reading Tutorial,1,African & African Amer Studies,"Shelby,Tommie",0,1,0,0,0,0,0,1
210981,AFRAMER 392,"Teaching, Writing, and Researc",1,African & African Amer Studies,"Shelby,Tommie",0,22,0,0,0,0,0,22
122706,AFRAMER 398,Reading and Research,1,African & African Amer Studies,"Comaroff,Jean",0,4,0,0,0,0,0,4
122706,AFRAMER 398,Reading and Research,2,African & African Amer Studies,"Shelby,Tommie",0,1,0,0,0,0,0,1
122706,AFRAMER 398,Reading and Research,3,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
122706,AFRAMER 398,Reading and Research,4,African & African Amer Studies,"West,Cornel",1,1,0,0,0,0,0,2
110605,AFRAMER 91R,Supervised Reading and Researc,1,African & African Amer Studies,"Carpio,Glenda",1,0,0,0,0,0,0,1
123590,AFRAMER 97,Sophomore Tutorial,1,African & African Amer Studies,"Monson,Ingrid",7,0,0,0,0,0,0,7
118023,AFRAMER 98,Junior Tutorial - African Am,1,African & African Amer Studies,"Carpio,Glenda",3,0,0,0,0,0,0,3
159794,AFRAMER 99B,Senior Thesis Workshop,1,African & African Amer Studies,"Carpio,Glenda",4,0,0,0,0,0,0,4
205831,AFRIKAAN AB,Elementary Afrikaans,1,African & African Amer Studies,"Mugane,John M",9,0,0,0,0,0,0,9
205833,AFRIKAAN BB,Intermediate Afrikaans,1,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
213509,AFVS 118C,Curating Contemporary Art,1,"Art, Film, and Visual Studies","Byers,Daniel I",9,2,0,7,0,0,0,18
203312,AFVS 12,Drawing 1:,1,"Art, Film, and Visual Studies","Burin,Katarina",14,0,0,1,0,0,0,15
217478,AFVS 126,Exploring Painting as Media,1,"Art, Film, and Visual Studies","Jackson,Tomashi",10,0,0,2,0,0,0,12
203314,AFVS 14,Making Things,S1,"Art, Film, and Visual Studies","Burin,Katarina",11,1,0,1,0,0,0,13
217456,AFVS 147F,Intermediate Photography,1,"Art, Film, and Visual Studies","Rodriguez,Carissa",6,1,0,0,0,0,0,7
113516,AFVS 150B,Film Direction: From Script to,1,"Art, Film, and Visual Studies","Sotomayor Castillo,Dominga",4,0,0,0,0,0,0,4
117216,AFVS 152R,Intermediate Video Workshop,1,"Art, Film, and Visual Studies","Moss,Robb",6,2,0,0,1,0,0,9
216369,AFVS 157L,Immersive Experience as Art,1,"Art, Film, and Visual Studies","Lee,Young Joo",12,0,0,2,0,0,0,14
213728,AFVS 159J,Marginal Images: cinematograph,1,"Art, Film, and Visual Studies","Pimenta,Joana",7,2,0,0,0,0,0,9
148176,AFVS 160,Modernization in the Visual U.,1,"Art, Film, and Visual Studies","Stilgoe,John R.",15,0,0,0,1,0,0,16
217449,AFVS 161L,Enter The Mediaverse,1,"Art, Film, and Visual Studies","Brown,Lex",6,0,0,2,0,0,0,8
142149,AFVS 167,Adventure & Fantasy 1871-2036,1,"Art, Film, and Visual Studies","Stilgoe,John R.",15,0,0,0,0,0,0,15
116003,AFVS 16R,Relief Printmaking,1,"Art, Film, and Visual Studies","Lemieux,Annette",10,0,0,2,0,0,0,12
217515,AFVS 175L,Queer (and Queering) Cinema,1,"Art, Film, and Visual Studies","Lim,Dennis",13,7,0,0,0,0,0,20
119636,AFVS 196R,Directed Rsch: Studio Course,1,"Art, Film, and Visual Studies","Prina,Stephen",8,2,0,2,0,0,0,12
213421,AFVS 231,Studio Language,1,"Art, Film, and Visual Studies","Williams,Adrian",3,0,1,0,0,0,0,4
108976,AFVS 252,Sonic Ethnography,1,"Art, Film, and Visual Studies","Karel,Ernst",1,2,0,1,0,0,0,4
217647,AFVS 254,Audio in Multimodal Practice,1,"Art, Film, and Visual Studies","Karel,Ernst",1,1,1,3,0,0,0,6
122079,AFVS 270,"Proseminar, Film & Visual Stdy",1,"Art, Film, and Visual Studies","Conley,Tom",0,8,0,0,0,0,0,8
122841,AFVS 301,Film and Visual Studies Worksh,1,"Art, Film, and Visual Studies","Rentschler,Eric",0,14,0,0,0,0,0,14
208018,AFVS 305,FVS Dissertation Group,1,"Art, Film, and Visual Studies","Frahm,Laura A.",0,8,0,0,0,0,0,8
124317,AFVS 310,Reading and Research,1,"Art, Film, and Visual Studies","Rentschler,Eric",0,19,0,1,0,0,0,20
124316,AFVS 320,Directed Study,1,"Art, Film, and Visual Studies","Rentschler,Eric",0,1,0,0,0,0,0,1
156525,AFVS 330R,Teaching Workshop,1,"Art, Film, and Visual Studies","Rentschler,Eric",0,9,0,0,0,0,0,9
127539,AFVS 351HF,Non-Fiction Filmmaking Wkshp,1,"Art, Film, and Visual Studies","Pimenta,Joana",0,3,0,0,0,0,0,3
216340,AFVS 352,CMP Projects: Production and P,1,"Art, Film, and Visual Studies","Pimenta,Joana",0,6,0,5,0,0,0,11
108649,AFVS 35R,Building Thought,1,"Art, Film, and Visual Studies","Lemieux,Annette",9,0,0,1,0,0,0,10
211192,AFVS 390,Graduate Studio Workshop,1,"Art, Film, and Visual Studies","Moss,Robb",0,7,0,1,0,0,0,8
111189,AFVS 40A,Intro to Still Photography,1,"Art, Film, and Visual Studies","Perez,Elle",10,0,0,0,0,0,0,10
114351,AFVS 50A,Introduction to Creating Nonfi,1,"Art, Film, and Visual Studies","Guzzetti,Alfred",6,1,0,0,0,0,0,7
121542,AFVS 51A,Introduction to Video,1,"Art, Film, and Visual Studies","McElwee,Ross",10,0,0,0,0,0,0,10
110676,AFVS 53AR,Fundamentals of Animation,1,"Art, Film, and Visual Studies","Lingford,Ruth Stella",10,1,0,0,0,0,0,11
127469,AFVS 60X,Approaching Narrative: Intro,1,"Art, Film, and Visual Studies","Sotomayor Castillo,Dominga",9,0,0,0,0,0,0,9
115688,AFVS 70,The Art of Film: World Cinema,1,"Art, Film, and Visual Studies","Guest,Haden",34,2,0,5,0,0,0,41
123380,AFVS 80,Loitering: Studio Course,1,"Art, Film, and Visual Studies","Prina,Stephen",3,0,0,1,0,0,0,4
117193,AFVS 91R,Special Projects,1,"Art, Film, and Visual Studies","Lingford,Ruth Stella",4,0,0,0,0,0,0,4
113968,AFVS 97,Tutorial - Sophomore Year,1,"Art, Film, and Visual Studies","Harper,Sharon C.",10,0,0,0,0,0,0,10
110715,AFVS 98R,Tutorial - Junior Year,1,"Art, Film, and Visual Studies","Lingford,Ruth Stella",2,0,0,0,0,0,0,2
117196,AFVS 99A,Tutorial - Senior Year,1,"Art, Film, and Visual Studies","Lingford,Ruth Stella",3,0,0,0,0,0,0,3
159861,AFVS 99B,Tutorial - Senior Year,1,"Art, Film, and Visual Studies","Lingford,Ruth Stella",11,0,0,0,0,0,0,11
119450,AKKAD 148,Old Babylonian Letters of Mari,1,Near Eastern Languages & Civ,"Weeden,Mark",0,4,0,0,0,0,0,4
159801,AKKAD AB,Introductory Akkadian II,1,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,0,0,1,0,0,0,2
205862,AMHARIC 101BR,Advanced Amharic II,1,African & African Amer Studies,"Mugane,John M",2,0,0,1,0,0,0,3
205838,AMHARIC AB,Elementary Amharic,1,African & African Amer Studies,"Mugane,John M",4,0,0,1,0,0,0,5
205841,AMHARIC BB,Intermediate Amharic,1,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
205188,AMSTDIES 314B,Colloquium on Pedagogy,1,American Studies,"Brown,Vincent",0,5,0,0,0,0,0,5
214388,AMSTDIES 395,Graduate Coursework,1,American Studies,,0,0,0,0,0,0,0,0
214390,AMSTDIES 397,Graduate Research,1,American Studies,"McKanan,Dan",0,0,0,0,0,0,0,0
110946,AMSTDIES 398,Reading and Research,2,American Studies,"Bernstein,Robin",0,3,0,0,0,0,0,3
110946,AMSTDIES 398,Reading and Research,6,American Studies,"Braude,Ann",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,7,American Studies,"Burt,Stephanie",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,21,American Studies,"McGirr,Lisa M.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,22,American Studies,"McKanan,Dan",0,3,0,0,0,0,0,3
110946,AMSTDIES 398,Reading and Research,34,American Studies,"Lambert-Beatty,Carrie",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,42,American Studies,"Deloria,Philip",0,2,0,0,0,0,0,2
110946,AMSTDIES 398,Reading and Research,44,American Studies,"Singer,Joseph William",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,45,American Studies,"Mack,Kenneth W.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,46,American Studies,"Gordon-Reed,Annette",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,1,American Studies,"Beckert,Sven",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,2,American Studies,"Bernstein,Robin",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,3,American Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,4,American Studies,"Chaplin,Joyce E.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,7,American Studies,"Higginbotham,Evelyn Brooks",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,12,American Studies,"Roberts,Jennifer L.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,13,American Studies,"Sommer,Doris",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,14,American Studies,"Stauffer,John",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,18,American Studies,"Deloria,Philip",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,19,American Studies,"Rivera,Mayra",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,21,American Studies,"García Peña,Lorgia",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,22,American Studies,"Kim,Ju Yon",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,23,American Studies,"Reid-Pharr,Robert Fitzgerald",0,1,0,0,0,0,0,1
215990,ANCSTD 201,Oracles and Divination,1,"Classics, The","Bazzana,Giovanni Battista",0,8,0,0,0,0,0,8
126065,ANE 120B,Hebrew Bible/Old Testament 2,1,Near Eastern Languages & Civ,"Teeter,Andrew",7,0,0,0,0,0,0,7
215964,ANE 157C,Advanced Old Assyrian,1,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,3,0,0,0,0,0,3
205397,ANE 227,Critical Rdgs on Ancient Hist,1,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,10,0,0,0,0,0,10
120579,ANTHRO 1150,Ancient Landscapes,1,Anthropology,"Ur,Jason Alik",4,4,0,0,0,0,0,8
205154,ANTHRO 1181,"Tacos, Tamales, and Tequila:",1,Anthropology,"Carballo,Jennifer Lynn",43,1,0,1,0,0,0,45
113280,ANTHRO 1200,Osteoarchaeology,1,Anthropology,"Warinner,Christina Gertrude",6,7,0,0,0,0,0,13
217827,ANTHRO 1490,Something Else,1,Anthropology,"Eddy,Zoe Antoinette",8,2,0,0,0,0,0,10
204435,ANTHRO 1653,Language and Politics,1,Anthropology,"Caton,Steven C.",5,0,0,0,0,0,0,5
215944,ANTHRO 1718,Engaged Anthropology,1,Anthropology,"Wright,Andrea",4,0,0,0,0,0,0,4
160441,ANTHRO 1826,"Epidemics, Pandemics, and Synd",1,Anthropology,"Kleinman,Arthur",11,1,0,4,0,0,0,16
215955,ANTHRO 1839,Audio in Multimodal Practice,1,Anthropology,"Karel,Ernst",1,2,0,0,0,0,0,3
213469,ANTHRO 1883,Introduction to STS,1,Anthropology,"Jabloner,Anna",11,2,0,0,0,0,0,13
144159,ANTHRO 2110R,Issues in Mesoamerican,1,Anthropology,"Fash,William",0,3,0,0,0,0,0,3
215954,ANTHRO 2220,Archaeology of Ancient Cities,1,Anthropology,"Ur,Jason Alik",1,3,0,1,0,0,0,5
